,project name,Commit ID,commit_message,Maintenance,Testing,Feature Add,Bug fix,Documentation,Clean up,Build,Refactoring,Indentation,Token Replace,Source Control,Cross,Legal,Debug,Module Remove,Module Move,Rename,Versioning,Merge,Initialization,Internationalization,Data,Module Add,categories
0,apache-avro,126e9769f45f978f42321c4fc465198982df482b,"AVRO-906. Java: Fix so that ordering of schema properties is consistent.

git-svn-id: https://svn.apache.org/repos/asf/avro/trunk@1179356 13f79535-47bb-0310-9956-ffa450edef68
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
1,apache-avro,2df0775d2f368b326e3ac6442ce4850e3fe62edc,"AVRO-2003: Report specific location of schema incompatibilities

Closes #201

Signed-off-by: Nandor Kollar <nkollar@apache.org>
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance']"
2,apache-avro,a39e6deea243dcd9a09df8f67af724003dec1d02,"AVRO-1099. Java: Fix JsonDecoder to permit floats and doubles to be read from JSON values without decimal points, and for ints and longs to be read from JSON values with decimal points.

git-svn-id: https://svn.apache.org/repos/asf/avro/trunk@1347779 13f79535-47bb-0310-9956-ffa450edef68
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
3,apache-avro,2020c8a8cc19c58eaef2d9de75260e7341099038,"AVRO-1046. Java: Fix ReflectDatumReader to be able to read generic and specific arrays.

git-svn-id: https://svn.apache.org/repos/asf/avro/trunk@1339864 13f79535-47bb-0310-9956-ffa450edef68
",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance', 'Bug fix']"
4,apache-avro,fa0059c55a31813634188eb85e53b68e33644489,"AVRO-607: Java: Make SpecificData schema cache thread-safe.

Changed SpecificData.getSchema to use a thread-safe Cache class from
Google Guava.
",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Maintenance', 'Bug fix']"
5,apache-avro,50baf4cfb47fbdd29c311de756bbc503f0508dd5,"AVRO-1368. Fix SpecificDatumWriter to, when writing a string schema, not silently convert any object to a string.  Contributed by Christophe Taton.

git-svn-id: https://svn.apache.org/repos/asf/avro/trunk@1520141 13f79535-47bb-0310-9956-ffa450edef68
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
6,apache-calcite,44c72c32cbb4c47ed8b6e33db5dc2c353d250bf4,"[OPTIQ-434] FilterAggregateTransposeRule loses conditions that cannot be pushed
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
7,apache-calcite,c2059f1524b50c120f655025efca958d61e6eb2b,"[CALCITE-953] Improve RelMdPredicates to deal with RexLiteral (Pengcheng Xiong)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance']"
8,apache-calcite,2c339be180d67853431387c26f8ed6726148f2cc," [CALCITE-926] Rules fail to match because of missing link to parent equivalence set (Maryann Xue)
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
9,apache-calcite,e117c10cef192ca4ab10ffec2132b7dbd34319fa,"[CALCITE-1645] In MATCH_RECOGNIZE clause, support ONE ROW PER MATCH and ALL ROWS PER MATCH (Zhiqiang-He)

Close apache/calcite#452
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Feature Add']"
10,apache-calcite,3c32deb2bb06dc56ff036419c5f4e7ded61b8eac,"[OPTIQ-412] RelFieldTrimmer: when trimming SortRel, the collation and trait set don't match
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
11,apache-calcite,ee0afb6e38ce09f82cc1883aae757306b55ce8fe,"[CALCITE-1898] LIKE must match '.' (period) literally
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Bug fix']"
12,apache-calcite,316a05872b358e8388890c04dee48adc45812f71,"[CALCITE-1637] Add mutable equivalents for all relational expressions
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance', 'Feature Add']"
13,apache-calcite,24276d60ae65866018063933d5cb5faca6d202db,"[CALCITE-1107] Make SqlSumEmptyIsZeroAggFunction constructor public (Minji Kim)

Close apache/calcite#242
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maintenance']
14,apache-calcite,9f44aea5b3168f8372717daa29021aca2030cd65,"[CALCITE-1448] Add rules to flatten and prune Intersect and Minus

New instances of UnionMergeRule flatten trees of Intersect and Minus
operators into nodes that have more than 2 inputs.

New rules in PruneEmptyRules act on Intersect and Minus that have
empty inputs, either converting them to the empty relational
expression or removing empty inputs.

RelBuilder now allows Minus to have more than 2 inputs.
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance', 'Feature Add']"
15,apache-calcite,e4d3ad0bdc3beb03e5777b82d15684c6c78e12ee,"[CALCITE-1522] Fix error message for SetOp with incompatible args (Jess Balint)

Close apache/calcite#331
",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance', 'Bug fix']"
16,apache-calcite,1f91bbf811d45d5c6832f23ba27972f2e304537b,"[CALCITE-397] ""SELECT DISTINCT *"" on reflective schema gives ClassCastException at runtime
",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance', 'Bug fix']"
17,apache-calcite,55fbf047681affa637825c3108df1d1a80855063,"Fix 'mvn site' on JDK 1.8 and enable in Travis-CI.

Fix several javadoc errors and warnings.

Remove some duplicate package-info.java files.

Remove versions of maven plugins where apache pom already specifies a version.
",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Testing', 'Documentation', 'Module Remove', 'Build']"
18,apache-calcite,47c8df9ecad8aa0c8a65530dd89b94b3749f54a2,"[CALCITE-1833] User-defined aggregate functions with more than one parameter (hzyuemeng1)

I don't like the fact that SqlUserDefinedAggregateFunction now has a
type factory field. I see why it is necessary - because the
SqlFunction.getParamTypes method does not take a type factory argument -
but we should consider changing it in future.

Close apache/calcite#481
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Maintenance']"
19,apache-calcite,1580bd0fec62d836c9870edc339b0ab99d909cad,"[CALCITE-821] Frameworks gives NPE when FrameworkConfig has no default schema
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Bug fix']
20,apache-calcite,915c218b0fcbff26652071d267903d97875c7b9e,"[CALCITE-1807] Upgrade to Avatica 1.10.0

Includes fix to [CALCITE-1664] CAST('<string>' as TIMESTAMP) adds part of sub-second fraction to the value

Replace uses of DateTimeUtils.GMT_Zone with UTC_ZONE.
",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Build', 'Maintenance']"
21,apache-calcite,c3bf95bb539ae78ffba1db82791b660118ca167f,"[OPTIQ-402] Lattice should create materializations on demand
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Testing', 'Feature Add']"
22,apache-commons-bcel,e9b1c00018d79668e0fd747a2c4500cfc15a21f5,"FindBugs: Unnecessary check

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1696993 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Maintenance', 'Clean up']"
23,apache-commons-bcel,531b1849af7682cb4f1faf981b506a6b4d2c9fc4,"Remove inaccurate TODOs

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1696349 13f79535-47bb-0310-9956-ffa450edef68
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Documentation']
24,apache-commons-bcel,ae57c74449db1d55abea013eb0274fb9a1f636bf,"Fix incorrect indentation, thanks to Michael Ernst. This closes #18

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1812710 13f79535-47bb-0310-9956-ffa450edef68
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Indentation']
25,apache-commons-bcel,12bea29cdec2be134f8a8e5497a6a97f66940510,"Need direct setter for n

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1697716 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maintenance']
26,apache-commons-bcel,40448470d6384fd4128840151a62be646f1eb88d,"Tidy up

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1702398 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Documentation', 'Maintenance']"
27,apache-commons-bcel,3c08cbd2ebb2ac5bf335bdb38d3fce0b0482673a,"Gradually working towards restoring binary compatibility
Restore deprecated methods for now

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1702419 13f79535-47bb-0310-9956-ffa450edef68
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Feature Add', 'Maintenance']"
28,apache-commons-bcel,dd045109ff40c502a157c03dbc6acef3b5400de2,"simplify and avoid NPEs

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1532202 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Maintenance', 'Bug fix']"
29,apache-commons-bcel,fb3787fb2b704a37e2a1105d4469bfa640e605e7,"Reverted the return type of the clone methods to Object to preserve the backward compatibility

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1590062 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maintenance']
30,apache-commons-bcel,e352fa963b60c6feb113ddf4a6845cab172cd3a9,"reduce allocations

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1697274 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maintenance']
31,apache-commons-bcel,5e415a163fa34e02b421620f638b53ebcad1ceda,"fix TABLESWITCH and LOOKUPSWITCH to visit StackConsumer rather than StackProducer

git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@1081622 13f79535-47bb-0310-9956-ffa450edef68
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Bug fix']
32,apache-commons-bcel,a083af547173a593d2ee5f4831932b590f600f51,"don't allocate objects if not using them

git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@643700 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maintenance']
33,apache-commons-bcel,49d370d1eef1964b067fabc4aef7c0f5f1759290,"don't allocate a Character object just to convert a char to a String

git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@438630 13f79535-47bb-0310-9956-ffa450edef68
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Maintenance']
